path,source_ref,role,key_functions_classes,input_output_files,likely_experiment_group,thesis_relevance,confidence,evidence_note
origin/GaN:src/modeling/dataset.py,git show origin/GaN:src/modeling/dataset.py,TFRecord/HDF5 generation; label construction; FFT label/script; dual-input/metadata model; train/test split logic,_parse_translation_tfrecord_fn; create_dataset,translation_data.tfrecord,CWT-label binary classification,label construction and method rationale; model/training method; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:src/modeling/model.py,git show origin/GaN:src/modeling/model.py,FFT label/script,attention_gate; build_attention_unet; build_discriminator,unknown,GAN/severity map,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:src/modeling/train.py,git show origin/GaN:src/modeling/train.py,TFRecord/HDF5 generation; label construction; FFT label/script; dual-input/metadata model; artifact masking / binary mask,discriminator_loss; generator_loss; train_gan_model; train_step,translation_data.tfrecord; best_a2inet_model.h5,GAN/severity map,label construction and method rationale; model/training method,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:src/visualization/visualize_data_pipeline.py,git show origin/GaN:src/visualization/visualize_data_pipeline.py,preprocessing script; CWT transformation; TFRecord/HDF5 generation; label construction; FFT label/script; result saving logic; artifact masking / binary mask,visualize_single_sample,XSILMR{str(ARRAY_ID).zfill(2)}.mat; processed_waveforms.pkl; cwt_images.h5; ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5; {sample_index}_01_raw_waveform.png; {sample_index}_02_cwt_result.png; {sample_index}_03_label_generation.png; {sample_index}_04_final_label_image.png,GAN/severity map,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/GaN:src/visualization/visualize_training_history.py,git show origin/GaN:src/visualization/visualize_training_history.py,label construction; training logic; result saving logic,plot_training_history,training_history.pkl; 04_training_history.png,GAN/severity map,label construction and method rationale; model/training method,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:config.py,git show origin/frequency-weighted_loss:config.py,CWT transformation; TFRecord/HDF5 generation; FFT label/script; train/test split logic,,ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5,FFT high-frequency weighted loss,label construction and method rationale; data leakage risk review; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:main.py,git show origin/frequency-weighted_loss:main.py,preprocessing script; TFRecord/HDF5 generation,check_output_exists; run_step; main,cwt_images.h5; translation_data.tfrecord; processed_waveforms.pkl,FFT high-frequency weighted loss,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/cwt_transformation/main_transform_translation.py,git show origin/frequency-weighted_loss:src/cwt_transformation/main_transform_translation.py,CWT transformation; TFRecord/HDF5 generation,batch_cwt_transformer; transform_waveforms_to_cwt_images,processed_waveforms.pkl; cwt_images.h5,FFT high-frequency weighted loss,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/data_processing/create_tfrecords.py,git show origin/frequency-weighted_loss:src/data_processing/create_tfrecords.py,TFRecord/HDF5 generation; label construction; FFT label/script,_bytes_feature; process_zc_slice_to_label; create_tfrecord_example; create_tfrecords_for_translation,cwt_images.h5; processed_waveforms.pkl; translation_data.tfrecord,FFT high-frequency weighted loss,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/data_processing/main_preprocess.py,git show origin/frequency-weighted_loss:src/data_processing/main_preprocess.py,preprocessing script; TFRecord/HDF5 generation; result saving logic,apply_high_pass_filter; load_and_prepare_data; create_unified_depth_grid; interpolate_to_grid; build_and_save_outputs; main,CAST.mat; XSILMR{str(array_id).zfill(2)}.mat; ground_truth_db_array_{str(array_id).zfill(2)}.h5; processed_waveforms.pkl,FFT high-frequency weighted loss,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/interpretation/debug_data_visualization.py,git show origin/frequency-weighted_loss:src/interpretation/debug_data_visualization.py,TFRecord/HDF5 generation; FFT label/script; Grad-CAM analysis,debug_arrays,best_a2inet_model.h5; cwt_images.h5; debug_cwt_array.png; debug_heatmap_array.png,FFT high-frequency weighted loss,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/interpretation/grad_cam.py,git show origin/frequency-weighted_loss:src/interpretation/grad_cam.py,Grad-CAM analysis,make_gradcam_heatmap; superimpose_gradcam,unknown,FFT high-frequency weighted loss,evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/interpretation/run_analysis.py,git show origin/frequency-weighted_loss:src/interpretation/run_analysis.py,TFRecord/HDF5 generation; label construction; FFT label/script; Grad-CAM analysis; analysis/evaluation/metric computation; result saving logic; train/test split logic,get_grad_cam_heatmap; reconstruct_zc_from_fft_magnitude; run_model_analysis,best_a2inet_model.h5; translation_data.tfrecord; sample_{i}_input_and_gradcam.png; sample_{i}_truth_vs_prediction.png,FFT high-frequency weighted loss,label construction and method rationale; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/modeling/dataset.py,git show origin/frequency-weighted_loss:src/modeling/dataset.py,TFRecord/HDF5 generation; label construction; FFT label/script; train/test split logic,_parse_translation_tfrecord_fn; create_dataset,translation_data.tfrecord,FFT high-frequency weighted loss,label construction and method rationale; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/modeling/model.py,git show origin/frequency-weighted_loss:src/modeling/model.py,FFT label/script; Grad-CAM analysis,attention_gate; build_attention_unet,unknown,FFT high-frequency weighted loss,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/modeling/train.py,git show origin/frequency-weighted_loss:src/modeling/train.py,TFRecord/HDF5 generation; FFT label/script; training logic; analysis/evaluation/metric computation; result saving logic; train/test split logic,gradient_difference_loss; weighted_mse_loss; hybrid_loss; train_translation_model,translation_data.tfrecord; best_a2inet_model.h5; training_history.pkl,FFT high-frequency weighted loss,label construction and method rationale; model/training method; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/visualization/visualize_data_pipeline.py,git show origin/frequency-weighted_loss:src/visualization/visualize_data_pipeline.py,preprocessing script; CWT transformation; TFRecord/HDF5 generation; label construction; FFT label/script; result saving logic,visualize_data_processing_steps,XSILMR{str(ARRAY_ID).zfill(2)}.mat; processed_waveforms.pkl; cwt_images.h5; ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5; 01_filtering_effect.png; Saved plot: 01_filtering_effect.png; 02_cwt_result.png; Saved plot: 02_cwt_result.png; 03_label_generation.png; Saved plot: 03_label_generation.png,FFT high-frequency weighted loss,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/frequency-weighted_loss:src/visualization/visualize_training_history.py,git show origin/frequency-weighted_loss:src/visualization/visualize_training_history.py,label construction; result saving logic,plot_training_history,training_history.pkl; 04_training_history.png; Saved plot: 04_training_history.png,FFT high-frequency weighted loss,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:config.py,git show origin/log_scaling:config.py,CWT transformation; TFRecord/HDF5 generation; FFT label/script; train/test split logic,,ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5,CWT preprocessing,label construction and method rationale; data leakage risk review; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:main.py,git show origin/log_scaling:main.py,preprocessing script; TFRecord/HDF5 generation,check_output_exists; run_step; main,cwt_images.h5; translation_data.tfrecord; processed_waveforms.pkl,CWT preprocessing,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/cwt_transformation/main_transform_translation.py,git show origin/log_scaling:src/cwt_transformation/main_transform_translation.py,CWT transformation; TFRecord/HDF5 generation,batch_cwt_transformer; transform_waveforms_to_cwt_images,processed_waveforms.pkl; cwt_images.h5,CWT preprocessing,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/data_processing/create_tfrecords.py,git show origin/log_scaling:src/data_processing/create_tfrecords.py,TFRecord/HDF5 generation; label construction; FFT label/script,_bytes_feature; process_zc_slice_to_label; create_tfrecord_example; create_tfrecords_for_translation,cwt_images.h5; processed_waveforms.pkl; translation_data.tfrecord,FFT log label,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/data_processing/main_preprocess.py,git show origin/log_scaling:src/data_processing/main_preprocess.py,preprocessing script; TFRecord/HDF5 generation; result saving logic,apply_high_pass_filter; load_and_prepare_data; create_unified_depth_grid; interpolate_to_grid; build_and_save_outputs; main,CAST.mat; XSILMR{str(array_id).zfill(2)}.mat; ground_truth_db_array_{str(array_id).zfill(2)}.h5; processed_waveforms.pkl,unknown,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/interpretation/debug_data_visualization.py,git show origin/log_scaling:src/interpretation/debug_data_visualization.py,TFRecord/HDF5 generation; FFT label/script; Grad-CAM analysis,debug_arrays,best_a2inet_model.h5; cwt_images.h5; debug_cwt_array.png; debug_heatmap_array.png,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/interpretation/grad_cam.py,git show origin/log_scaling:src/interpretation/grad_cam.py,Grad-CAM analysis,make_gradcam_heatmap; superimpose_gradcam,unknown,Grad-CAM interpretability,evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/interpretation/run_analysis.py,git show origin/log_scaling:src/interpretation/run_analysis.py,TFRecord/HDF5 generation; label construction; FFT label/script; Grad-CAM analysis; result saving logic; train/test split logic,get_grad_cam_heatmap; reconstruct_zc_from_fft_magnitude; run_model_analysis,best_a2inet_model.h5; translation_data.tfrecord; sample_{i}_input_and_gradcam.png; sample_{i}_truth_vs_prediction.png,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/modeling/dataset.py,git show origin/log_scaling:src/modeling/dataset.py,TFRecord/HDF5 generation; label construction; FFT label/script; train/test split logic,_parse_translation_tfrecord_fn; create_dataset,translation_data.tfrecord,unknown,label construction and method rationale; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/modeling/model.py,git show origin/log_scaling:src/modeling/model.py,FFT label/script; Grad-CAM analysis,attention_gate; build_attention_unet,unknown,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/modeling/train.py,git show origin/log_scaling:src/modeling/train.py,TFRecord/HDF5 generation; FFT label/script; training logic; analysis/evaluation/metric computation; result saving logic; train/test split logic,gradient_difference_loss; hybrid_loss; train_translation_model,translation_data.tfrecord; best_a2inet_model.h5; training_history.pkl,unknown,label construction and method rationale; model/training method; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/visualization/visualize_data_pipeline.py,git show origin/log_scaling:src/visualization/visualize_data_pipeline.py,preprocessing script; CWT transformation; TFRecord/HDF5 generation; label construction; FFT label/script; result saving logic,visualize_data_processing_steps,XSILMR{str(ARRAY_ID).zfill(2)}.mat; processed_waveforms.pkl; cwt_images.h5; ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5; 01_filtering_effect.png; Saved plot: 01_filtering_effect.png; 02_cwt_result.png; Saved plot: 02_cwt_result.png; 03_label_generation.png; Saved plot: 03_label_generation.png,FFT log label,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/log_scaling:src/visualization/visualize_training_history.py,git show origin/log_scaling:src/visualization/visualize_training_history.py,label construction; result saving logic,plot_training_history,training_history.pkl; 04_training_history.png; Saved plot: 04_training_history.png,unknown,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:config.py,git show origin/master:config.py,CWT transformation; TFRecord/HDF5 generation; FFT label/script; train/test split logic,,ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5,CWT preprocessing,label construction and method rationale; data leakage risk review; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:main.py,git show origin/master:main.py,preprocessing script; TFRecord/HDF5 generation,check_output_exists; run_step; main,cwt_images.h5; translation_data.tfrecord; processed_waveforms.pkl,CWT preprocessing,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/cwt_transformation/main_transform_translation.py,git show origin/master:src/cwt_transformation/main_transform_translation.py,CWT transformation; TFRecord/HDF5 generation,batch_cwt_transformer; transform_waveforms_to_cwt_images,processed_waveforms.pkl; cwt_images.h5,CWT preprocessing,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/data_processing/create_tfrecords.py,git show origin/master:src/data_processing/create_tfrecords.py,TFRecord/HDF5 generation; label construction; FFT label/script,_bytes_feature; process_zc_slice_to_label; create_tfrecord_example; create_tfrecords_for_translation,cwt_images.h5; processed_waveforms.pkl; translation_data.tfrecord,FFT log label,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/data_processing/main_preprocess.py,git show origin/master:src/data_processing/main_preprocess.py,preprocessing script; TFRecord/HDF5 generation; result saving logic,apply_high_pass_filter; load_and_prepare_data; create_unified_depth_grid; interpolate_to_grid; build_and_save_outputs; main,CAST.mat; XSILMR{str(array_id).zfill(2)}.mat; ground_truth_db_array_{str(array_id).zfill(2)}.h5; processed_waveforms.pkl,unknown,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/interpretation/debug_data_visualization.py,git show origin/master:src/interpretation/debug_data_visualization.py,TFRecord/HDF5 generation; FFT label/script; Grad-CAM analysis,debug_arrays,best_a2inet_model.h5; cwt_images.h5; debug_cwt_array.png; debug_heatmap_array.png,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/interpretation/grad_cam.py,git show origin/master:src/interpretation/grad_cam.py,Grad-CAM analysis,make_gradcam_heatmap; superimpose_gradcam,unknown,Grad-CAM interpretability,evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/interpretation/run_analysis.py,git show origin/master:src/interpretation/run_analysis.py,TFRecord/HDF5 generation; label construction; FFT label/script; Grad-CAM analysis; result saving logic; train/test split logic,get_grad_cam_heatmap; reconstruct_zc_from_fft_magnitude; run_model_analysis,best_a2inet_model.h5; translation_data.tfrecord; sample_{i}_input_and_gradcam.png; sample_{i}_truth_vs_prediction.png,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/modeling/dataset.py,git show origin/master:src/modeling/dataset.py,TFRecord/HDF5 generation; label construction; FFT label/script; train/test split logic,_parse_translation_tfrecord_fn; create_dataset,translation_data.tfrecord,unknown,label construction and method rationale; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/modeling/model.py,git show origin/master:src/modeling/model.py,FFT label/script; Grad-CAM analysis,attention_gate; build_attention_unet,unknown,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/modeling/train.py,git show origin/master:src/modeling/train.py,TFRecord/HDF5 generation; FFT label/script; training logic; analysis/evaluation/metric computation; result saving logic; train/test split logic,gradient_difference_loss; hybrid_loss; train_translation_model,translation_data.tfrecord; best_a2inet_model.h5; training_history.pkl,unknown,label construction and method rationale; model/training method; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/visualization/visualize_data_pipeline.py,git show origin/master:src/visualization/visualize_data_pipeline.py,preprocessing script; CWT transformation; TFRecord/HDF5 generation; label construction; FFT label/script; result saving logic,visualize_data_processing_steps,XSILMR{str(ARRAY_ID).zfill(2)}.mat; processed_waveforms.pkl; cwt_images.h5; ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5; 01_filtering_effect.png; Saved plot: 01_filtering_effect.png; 02_cwt_result.png; Saved plot: 02_cwt_result.png; 03_label_generation.png; Saved plot: 03_label_generation.png,FFT log label,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/master:src/visualization/visualize_training_history.py,git show origin/master:src/visualization/visualize_training_history.py,label construction; result saving logic,plot_training_history,training_history.pkl; 04_training_history.png; Saved plot: 04_training_history.png,unknown,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:config.py,git show origin/percentage_label+FFT:config.py,CWT transformation; TFRecord/HDF5 generation; label construction; FFT label/script; train/test split logic,,ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5,1D percentage label / EfficientNet,label construction and method rationale; data leakage risk review; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:main.py,git show origin/percentage_label+FFT:main.py,preprocessing script; TFRecord/HDF5 generation; label construction; FFT label/script,check_output_exists; run_step; main,cwt_images.h5; processed_waveforms.pkl; fft_regression_data.tfrecord; profile_regression_data.tfrecord,1D percentage label / EfficientNet,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:src/cwt_transformation/main_transform_translation.py,git show origin/percentage_label+FFT:src/cwt_transformation/main_transform_translation.py,CWT transformation; TFRecord/HDF5 generation; label construction; FFT label/script,batch_cwt_transformer; transform_waveforms_to_cwt_images,processed_waveforms.pkl; cwt_images.h5,1D percentage label / EfficientNet,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:src/data_processing/create_tfrecords.py,git show origin/percentage_label+FFT:src/data_processing/create_tfrecords.py,TFRecord/HDF5 generation; label construction; FFT label/script; severity transform; result saving logic; artifact masking / binary mask,_bytes_feature; _process_zc_slice_to_1d_label; _process_zc_slice_to_fft_label; create_tfrecord_example; create_tfrecords_for_regression,fft_regression_data.tfrecord; profile_regression_data.tfrecord; cwt_images.h5; processed_waveforms.pkl; {tfrecord_path}.idx.pkl,1D percentage label / EfficientNet,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:src/data_processing/main_preprocess.py,git show origin/percentage_label+FFT:src/data_processing/main_preprocess.py,preprocessing script; TFRecord/HDF5 generation; label construction; FFT label/script; result saving logic,apply_high_pass_filter; load_and_prepare_data; create_unified_depth_grid; interpolate_to_grid; build_and_save_outputs; main,CAST.mat; XSILMR{str(array_id).zfill(2)}.mat; ground_truth_db_array_{str(array_id).zfill(2)}.h5; processed_waveforms.pkl,1D percentage label / EfficientNet,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:src/interpretation/run_analysis_regressor.py,git show origin/percentage_label+FFT:src/interpretation/run_analysis_regressor.py,TFRecord/HDF5 generation; label construction; FFT label/script; severity transform; Grad-CAM analysis; result saving logic; artifact masking / binary mask,make_gradcam_heatmap_for_regression; _calculate_mean_severity; classify_by_severity_profile; plot_overall_performance_scatter; generate_waveform_and_gradcam_plots; plot_depth_log_comparison; create_profile_FFT_spectrum_image; run_analysis_regressor; _parse_label_only,combo_sample_{i}.png; best_fft_regressor_model.h5; fft_regression_data.tfrecord; best_advanced_regressor_model.h5; profile_regression_data.tfrecord; cwt_images.h5; processed_waveforms.pkl; {tfrecord_path}.idx.pkl; _overall_performance_scatter.png; _depth_log_comparison.png; _fft_spectrum_image_comparison.png,1D percentage label / EfficientNet,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:src/modeling/dataset.py,git show origin/percentage_label+FFT:src/modeling/dataset.py,TFRecord/HDF5 generation; label construction; FFT label/script,create_dataset,unknown,1D percentage label / EfficientNet,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:src/modeling/model.py,git show origin/percentage_label+FFT:src/modeling/model.py,label construction; FFT label/script; EfficientNetV2B0 model,build_advanced_profile_regressor,https://storage.googleapis.com/tensorflow/keras-applications/efficientnet_v2/efficientnetv2-b0_notop.h5; efficientnetv2-b0_notop.h5,1D percentage label / EfficientNet,label construction and method rationale; model/training method,strong,Repository code or tracked branch snapshot; no training executed.
