figure_id,category,source_path,caption_draft_cn,thesis_chapter,why_useful,quality,needs_redraw,notes
FIG-015,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_0_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_0_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=80.9KB; evidence path only, image not modified."
FIG-016,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_1_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_1_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=83.9KB; evidence path only, image not modified."
FIG-017,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_2_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_2_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=84.4KB; evidence path only, image not modified."
FIG-018,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_3_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_3_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=83.3KB; evidence path only, image not modified."
FIG-019,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_4_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_4_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=84.7KB; evidence path only, image not modified."
FIG-020,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_5_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_5_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=82.9KB; evidence path only, image not modified."
FIG-021,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_6_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_6_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=84.2KB; evidence path only, image not modified."
FIG-022,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_7_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_7_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=79.1KB; evidence path only, image not modified."
FIG-023,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_8_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_8_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=80.5KB; evidence path only, image not modified."
FIG-024,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/analysis_plots_with_gradcam/sample_9_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/baseline/results/analysis_plots_with_gradcam/sample_9_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=85.1KB; evidence path only, image not modified."
FIG-025,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/frequency-weighted_loss/output/image_translation/array_03/results/analysis_plots_with_gradcam/sample_0_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/frequency-weighted_loss/output/image_translation/array_03/results/analysis_plots_with_gradcam/sample_0_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=80.8KB; evidence path only, image not modified."
FIG-026,FFT prediction map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/frequency-weighted_loss/output/image_translation/array_03/results/analysis_plots_with_gradcam/sample_1_truth_vs_prediction.png,FFT 标签预测与真值对比图（来源：temp_result/frequency-weighted_loss/output/image_translation/array_03/results/analysis_plots_with_gradcam/sample_1_truth_vs_prediction.png）,第5章 实验结果,展示FFT/重构图预测与真值对比,medium,no,"Artifact type: image; size=81.4KB; evidence path only, image not modified."
FIG-027,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+CNN/comprehensive_gradcam_statistics.png,Grad-CAM 显示的敏感时频区域（来源：CSI+CNN/comprehensive_gradcam_statistics.png）,第6章 可解释性分析,展示模型敏感时频区域,high,no,"Artifact type: image; size=1.1MB; evidence path only, image not modified."
FIG-028,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+CNN/gradcam_analysis_optimized.png,Grad-CAM 显示的敏感时频区域（来源：CSI+CNN/gradcam_analysis_optimized.png）,第6章 可解释性分析,展示模型敏感时频区域,high,no,"Artifact type: image; size=2.1MB; evidence path only, image not modified."
FIG-029,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/attention_mean_variance.png,Grad-CAM 显示的敏感时频区域（来源：CSI+SE-ResNet/outputs/array_03/plots/attention_mean_variance.png）,第6章 可解释性分析,展示模型敏感时频区域,high,no,"Artifact type: image; size=245.8KB; evidence path only, image not modified."
FIG-030,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/class_conditional_attention_analysis.png,Grad-CAM 显示的敏感时频区域（来源：CSI+SE-ResNet/outputs/array_03/plots/class_conditional_attention_analysis.png）,第6章 可解释性分析,展示模型敏感时频区域,high,no,"Artifact type: image; size=620.2KB; evidence path only, image not modified."
FIG-031,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_07/plots/attention_mean_variance.png,Grad-CAM 显示的敏感时频区域（来源：CSI+SE-ResNet/outputs/array_07/plots/attention_mean_variance.png）,第6章 可解释性分析,展示模型敏感时频区域,high,no,"Artifact type: image; size=257.7KB; evidence path only, image not modified."
FIG-032,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_07/plots/class_conditional_attention_analysis.png,Grad-CAM 显示的敏感时频区域（来源：CSI+SE-ResNet/outputs/array_07/plots/class_conditional_attention_analysis.png）,第6章 可解释性分析,展示模型敏感时频区域,high,no,"Artifact type: image; size=614.2KB; evidence path only, image not modified."
FIG-033,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_11/plots/attention_mean_variance.png,Grad-CAM 显示的敏感时频区域（来源：CSI+SE-ResNet/outputs/array_11/plots/attention_mean_variance.png）,第6章 可解释性分析,展示模型敏感时频区域,high,no,"Artifact type: image; size=243.4KB; evidence path only, image not modified."
FIG-034,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_11/plots/class_conditional_attention_analysis.png,Grad-CAM 显示的敏感时频区域（来源：CSI+SE-ResNet/outputs/array_11/plots/class_conditional_attention_analysis.png）,第6章 可解释性分析,展示模型敏感时频区域,high,no,"Artifact type: image; size=622.0KB; evidence path only, image not modified."
FIG-035,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/_overall_mean_attention_map.png,Grad-CAM 显示的敏感时频区域（来源：FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/_overall_mean_attention_map.png）,第6章 可解释性分析,展示模型敏感时频区域,medium,no,"Artifact type: image; size=100.4KB; evidence path only, image not modified."
FIG-036,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/gradcam_sample_312.png,Grad-CAM 显示的敏感时频区域（来源：FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/gradcam_sample_312.png）,第6章 可解释性分析,展示模型敏感时频区域,medium,no,"Artifact type: image; size=102.8KB; evidence path only, image not modified."
FIG-037,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/gradcam_sample_313.png,Grad-CAM 显示的敏感时频区域（来源：FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/gradcam_sample_313.png）,第6章 可解释性分析,展示模型敏感时频区域,medium,no,"Artifact type: image; size=102.5KB; evidence path only, image not modified."
FIG-038,Grad-CAM heatmap,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/gradcam_sample_314.png,Grad-CAM 显示的敏感时频区域（来源：FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/gradcam_sample_314.png）,第6章 可解释性分析,展示模型敏感时频区域,medium,no,"Artifact type: image; size=102.5KB; evidence path only, image not modified."
FIG-039,ablation,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/visualization_plots/01_filtering_effect.png,标签或损失函数改进的消融实验结果示例（来源：temp_result/log_label/output/visualization_plots/01_filtering_effect.png）,第5章 消融实验,展示log/weighted loss变体,medium,maybe,"Artifact type: image; size=82.9KB; evidence path only, image not modified."
FIG-040,ablation,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/visualization_plots/03_label_generation.png,标签或损失函数改进的消融实验结果示例（来源：temp_result/log_label/output/visualization_plots/03_label_generation.png）,第5章 消融实验,展示log/weighted loss变体,medium,maybe,"Artifact type: image; size=164.5KB; evidence path only, image not modified."
FIG-041,ablation,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/log_label/output/visualization_plots/04_training_history.png,标签或损失函数改进的消融实验结果示例（来源：temp_result/log_label/output/visualization_plots/04_training_history.png）,第5章 消融实验,展示log/weighted loss变体,medium,maybe,"Artifact type: image; size=63.6KB; evidence path only, image not modified."
FIG-042,baseline comparison,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/results/debug_plots/debug_heatmap_array.png,基线方法预测结果与局限性示例（来源：temp_result/baseline/results/debug_plots/debug_heatmap_array.png）,第5章 对比实验,展示baseline结果或失败形态,low,maybe,"Artifact type: image; size=26.4KB; evidence path only, image not modified."
FIG-043,baseline comparison,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/visualization_plots/01_filtering_effect.png,基线方法预测结果与局限性示例（来源：temp_result/baseline/visualization_plots/01_filtering_effect.png）,第5章 对比实验,展示baseline结果或失败形态,medium,maybe,"Artifact type: image; size=82.9KB; evidence path only, image not modified."
FIG-044,baseline comparison,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/visualization_plots/03_label_generation.png,基线方法预测结果与局限性示例（来源：temp_result/baseline/visualization_plots/03_label_generation.png）,第5章 对比实验,展示baseline结果或失败形态,medium,maybe,"Artifact type: image; size=154.6KB; evidence path only, image not modified."
FIG-045,baseline comparison,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/baseline/visualization_plots/04_training_history.png,基线方法预测结果与局限性示例（来源：temp_result/baseline/visualization_plots/04_training_history.png）,第5章 对比实验,展示baseline结果或失败形态,medium,maybe,"Artifact type: image; size=71.6KB; evidence path only, image not modified."
FIG-046,depth prediction curve,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/visualization_plots/05_training_history_regression.png,深度方向窜槽比例标签或预测曲线示例（来源：FFT_EfficientNet/output/visualization_plots/05_training_history_regression.png）,第5章 实验结果,展示深度剖面标签或训练过程,medium,maybe,"Artifact type: image; size=98.4KB; evidence path only, image not modified."
FIG-047,depth prediction curve,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/visualization_plots/05_training_history_regression.png,深度方向窜槽比例标签或预测曲线示例（来源：FFT_EfficientNet_1/output/visualization_plots/05_training_history_regression.png）,第5章 实验结果,展示深度剖面标签或训练过程,medium,maybe,"Artifact type: image; size=98.4KB; evidence path only, image not modified."
FIG-048,depth prediction curve,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/output/visualization_plots/05_training_history_regression.png,深度方向窜槽比例标签或预测曲线示例（来源：temp_result/1D+percentage_Label/output/visualization_plots/05_training_history_regression.png）,第5章 实验结果,展示深度剖面标签或训练过程,medium,maybe,"Artifact type: image; size=98.4KB; evidence path only, image not modified."
FIG-049,depth prediction curve,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/output/visualization_plots/06_profile_label_generation.png,深度方向窜槽比例标签或预测曲线示例（来源：temp_result/1D+percentage_Label/output/visualization_plots/06_profile_label_generation.png）,第5章 实验结果,展示深度剖面标签或训练过程,medium,maybe,"Artifact type: image; size=107.2KB; evidence path only, image not modified."
FIG-050,depth prediction curve,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/visualization_plots/05_training_history_regression.png,深度方向窜槽比例标签或预测曲线示例（来源：temp_result/1D+percentage_Label/样本权重+非对称损失/output/visualization_plots/05_training_history_regression.png）,第5章 实验结果,展示深度剖面标签或训练过程,medium,maybe,"Artifact type: image; size=98.4KB; evidence path only, image not modified."
FIG-051,depth prediction curve,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/visualization_plots/06_profile_label_generation.png,深度方向窜槽比例标签或预测曲线示例（来源：temp_result/1D+percentage_Label/样本权重+非对称损失/output/visualization_plots/06_profile_label_generation.png）,第5章 实验结果,展示深度剖面标签或训练过程,medium,maybe,"Artifact type: image; size=107.2KB; evidence path only, image not modified."
FIG-052,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/performance_summary_plots.png,模型性能或误差分布概览图（来源：CSI+SE-ResNet/outputs/array_03/plots/performance_summary_plots.png）,第5章 实验结果,展示性能或误差概况,high,maybe,"Artifact type: image; size=1.8MB; evidence path only, image not modified."
FIG-053,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_07/plots/performance_summary_plots.png,模型性能或误差分布概览图（来源：CSI+SE-ResNet/outputs/array_07/plots/performance_summary_plots.png）,第5章 实验结果,展示性能或误差概况,high,maybe,"Artifact type: image; size=2.3MB; evidence path only, image not modified."
FIG-054,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_11/plots/performance_summary_plots.png,模型性能或误差分布概览图（来源：CSI+SE-ResNet/outputs/array_11/plots/performance_summary_plots.png）,第5章 实验结果,展示性能或误差概况,high,maybe,"Artifact type: image; size=2.3MB; evidence path only, image not modified."
FIG-055,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/_error_distribution_by_category.png,模型性能或误差分布概览图（来源：FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/_error_distribution_by_category.png）,第5章 实验结果,展示性能或误差概况,medium,maybe,"Artifact type: image; size=96.7KB; evidence path only, image not modified."
FIG-056,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/image_translation/array_03/results/final_analysis_plots/_error_distribution_by_category.png,模型性能或误差分布概览图（来源：FFT_EfficientNet_1/output/image_translation/array_03/results/final_analysis_plots/_error_distribution_by_category.png）,第5章 实验结果,展示性能或误差概况,medium,maybe,"Artifact type: image; size=96.7KB; evidence path only, image not modified."
FIG-057,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/output/image_translation/array_03/results/final_analysis_plots/_error_distribution_by_category.png,模型性能或误差分布概览图（来源：temp_result/1D+percentage_Label/output/image_translation/array_03/results/final_analysis_plots/_error_distribution_by_category.png）,第5章 实验结果,展示性能或误差概况,medium,maybe,"Artifact type: image; size=96.7KB; evidence path only, image not modified."
FIG-058,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/results/final_analysis_plots/_error_distribution_by_category.png,模型性能或误差分布概览图（来源：temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/results/final_analysis_plots/_error_distribution_by_category.png）,第5章 实验结果,展示性能或误差概况,medium,maybe,"Artifact type: image; size=96.7KB; evidence path only, image not modified."
FIG-059,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/results/weighted_model_analysis_plots/_error_distribution_by_category_weighted.png,模型性能或误差分布概览图（来源：temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/results/weighted_model_analysis_plots/_error_distribution_by_category_weighted.png）,第5章 实验结果,展示性能或误差概况,medium,maybe,"Artifact type: image; size=87.4KB; evidence path only, image not modified."
FIG-060,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/双通道学习/array_03/plots/performance_summary_plots.png,模型性能或误差分布概览图（来源：双通道学习/array_03/plots/performance_summary_plots.png）,第5章 实验结果,展示性能或误差概况,high,maybe,"Artifact type: image; size=638.1KB; evidence path only, image not modified."
FIG-061,error map,/mnt/c/Users/Administrator/Desktop/Hal/results/预校正/array_03/plots/performance_summary_plots.png,模型性能或误差分布概览图（来源：预校正/array_03/plots/performance_summary_plots.png）,第5章 实验结果,展示性能或误差概况,high,maybe,"Artifact type: image; size=1.4MB; evidence path only, image not modified."
FIG-062,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_0_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_0_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=59.8KB; evidence path only, image not modified."
FIG-063,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_1_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_1_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=59.4KB; evidence path only, image not modified."
FIG-064,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_2_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_2_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=59.8KB; evidence path only, image not modified."
FIG-065,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_3_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_3_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=59.9KB; evidence path only, image not modified."
FIG-066,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_4_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_4_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=59.6KB; evidence path only, image not modified."
FIG-067,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_5_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_5_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=59.7KB; evidence path only, image not modified."
FIG-068,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_6_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_6_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=60.0KB; evidence path only, image not modified."
FIG-069,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_7_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_7_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=59.5KB; evidence path only, image not modified."
FIG-070,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_8_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_8_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=60.1KB; evidence path only, image not modified."
FIG-071,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_9_mask_comparison.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/image_translation/array_03/results/classification_analysis_plots/sample_9_mask_comparison.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=60.1KB; evidence path only, image not modified."
