literature_key,claim_id,topic,claim_supported,verification_level,evidence_locator,use_scope,limitations
Abdollahian2024TransferCement,C20,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,CWT 与迁移学习已被用于 VDL 水泥胶结分类，支持时频图输入的可行性。,fulltext,local PDF; see reading note,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Liu2025WideDeepCement,C21,T7 deep learning in logging and cement evaluation,融合领域知识的神经网络已用于固井质量预测，但任务和标签不同于本文。,fulltext,local PDF; see reading note,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Wang2023ExplainableSonic,C22,T7 deep learning in logging and cement evaluation,机器学习可重构声波时差并进行不确定性与特征贡献分析。,fulltext,local PDF; see reading note,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
You2023AcousticImageFacies,C23,T7 deep learning in logging and cement evaluation,二维深度网络可用于声学成像测井的相分类。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Santos2022RecurrentFacies,C24,T7 deep learning in logging and cement evaluation,循环网络可利用测井曲线的纵向序列依赖进行相分类。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Nezhad2023FuzzyCement,C25,T7 deep learning in logging and cement evaluation,模糊卷积网络已用于水泥评价日志自动解释。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Viggen2021FeatureEngineering,C26,T7 deep learning in logging and cement evaluation,特征工程可改善水泥评价日志的自动解释，但仍依赖任务定义和数据质量。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Zhang2023CementFCNN,C27,T7 deep learning in logging and cement evaluation,全连接网络已用于套管井水泥环和胶结界面成像。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Saito1997WaveletAcoustic,C28,T5 continuous wavelet transform,时频小波能够从声波测井波形中提取局部时频信息。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Daubechies1990Wavelet,C29,T5 continuous wavelet transform,小波变换提供尺度相关的时间--频率局部化。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Mallat1989Multiresolution,C30,T5 continuous wavelet transform,多分辨率分析为小波分解和局部特征表示提供理论基础。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Tary2018TimeVaryingCWT,C31,T5 continuous wavelet transform,CWT 适用于随时间变化的非平稳信号，并需注意尺度与边界效应。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Selvaraju2017GradCAM,C32,T9 Grad-CAM,Grad-CAM 使用目标输出对卷积特征图的梯度形成粗粒度、预测相关响应区域。,fulltext,local PDF; see reading note,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Roberts2017CrossValidation,C33,T10 grouped and blocked validation,相关或分组数据采用随机交叉验证可能低估预测误差，分块验证更合适。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Valavi2019BlockCV,C34,T10 grouped and blocked validation,空间或环境分块可构造相互分离的验证折叠。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Meyer2018TargetValidation,C35,T10 grouped and blocked validation,面向目标域的验证与特征选择可降低时空相关数据的乐观偏差。,metadata,Crossref/OpenAlex metadata,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Ploton2020SpatialValidation,C36,T10 grouped and blocked validation,空间独立验证可能显著改变模型性能判断。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
LeCun1998GradientLearning,C37,T7 convolutional networks,CNN 通过局部连接和权值共享学习层级特征。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
He2016ResNet,C38,T7 convolutional networks,残差连接有助于训练更深的卷积网络。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Kiran2017WellIntegrityReview,C39,T1 well integrity,井完整性失效涉及多类屏障与完整性机制，评价需面向全寿命周期。,metadata,Crossref/OpenAlex metadata,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Bai2016WellIntegrityReview,C40,T1 well integrity,储层封存场景中的井完整性依赖套管和水泥屏障。,metadata,Crossref/OpenAlex metadata,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Persoon1977FourierDescriptors,C41,T6 Fourier descriptors and shift-invariant magnitude,傅里叶描述子使用频域系数表达形状并讨论平移等变换影响。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Zahn1972FourierDescriptors,C42,T6 Fourier descriptors and shift-invariant magnitude,闭合曲线傅里叶描述子表明平移主要作用于低阶或相位相关分量。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Kuhl1982EllipticFourier,C43,T6 Fourier descriptors and shift-invariant magnitude,椭圆傅里叶系数可描述闭合轮廓，但归一化会牺牲部分位置信息。,metadata,Crossref/OpenAlex metadata,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Torrence1998WaveletGuide,C44,T5 continuous wavelet transform,CWT 的尺度--时间表示适用于非平稳信号分析。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Huber1964Robust,C45,method robust loss,Huber 损失在小残差区间采用二次项、较大残差区间采用线性增长。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Tan2021EfficientNetV2,C46,T8 EfficientNetV2,EfficientNetV2 通过 Fused-MBConv 和训练感知缩放提高训练效率；本文仅作骨干网络。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Kingma2014Adam,C47,method optimization,Adam 使用一阶矩和二阶矩估计进行自适应随机优化。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
Davies2014WellIntegrity,C48,T1 well integrity,油气井屏障失效数据具有场景差异，不能将单一井段结果外推为一般规律。,abstract,Crossref/OpenAlex abstract,background/method/discussion,"Do not extend beyond the stated instrument, dataset, split, or task."
