chapter,section,claim,citation_key,source_title,verification_level,evidence_page,citation_status,notes
chapter1_intro; chapter5_discussion,深度学习在测井解释中的应用现状; CWT 表征与网络骨干的作用,机器学习可重构声波时差并进行不确定性与特征贡献分析。,Wang2023ExplainableSonic,Uncertainty and explainable analysis of machine learning model for reconstruction of sonic slowness logs,fulltext,"PDF pp. 1--4 for problem and data; method, results, and conclusion sections thereafter.",cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,深度学习在测井解释中的应用现状,二维深度网络可用于声学成像测井的相分类。,You2023AcousticImageFacies,Automatic facies classification from acoustic image logs using deep neural networks,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,深度学习在测井解释中的应用现状,循环网络可利用测井曲线的纵向序列依赖进行相分类。,Santos2022RecurrentFacies,Deep Recurrent Neural Networks Approach to Sedimentary Facies Classification Using Well Logs,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,多模态联合与数据驱动解释; 深度学习在测井解释中的应用现状,模糊卷积网络已用于水泥评价日志自动解释。,Nezhad2023FuzzyCement,Automatic Interpretation of Oil and Gas Well Cement Evaluation Logs Using Fuzzy Convolutional Neural Networks,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,多模态联合与数据驱动解释,特征工程可改善水泥评价日志的自动解释，但仍依赖任务定义和数据质量。,Viggen2021FeatureEngineering,Better Automatic Interpretation of Cement Evaluation Logs through Feature Engineering,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,多模态联合与数据驱动解释,全连接网络已用于套管井水泥环和胶结界面成像。,Zhang2023CementFCNN,Imaging and characterization of cement annulus and bonding interfaces in cased wells with fully connected neural network,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter3_method; chapter5_discussion,深度学习在测井解释中的应用现状; CWT 定义与参数; CWT 表征与网络骨干的作用,时频小波能够从声波测井波形中提取局部时频信息。,Saito1997WaveletAcoustic,Extraction of geological information from acoustic well-logging waveforms using time-frequency wavelets,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter3_method,CWT 定义与参数,小波变换提供尺度相关的时间--频率局部化。,Daubechies1990Wavelet,"The wavelet transform, time-frequency localization and signal analysis",abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter3_method,深度学习在测井解释中的应用现状; CWT 定义与参数,多分辨率分析为小波分解和局部特征表示提供理论基础。,Mallat1989Multiresolution,A theory for multiresolution signal decomposition: the wavelet representation,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter3_method,深度学习在测井解释中的应用现状; CWT 定义与参数,CWT 适用于随时间变化的非平稳信号，并需注意尺度与边界效应。,Tary2018TimeVaryingCWT,Analysis of time-varying signals using continuous wavelet and synchrosqueezed transforms,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter3_method; chapter4_experiments; chapter5_discussion,深度学习在测井解释中的应用现状; Grad-CAM; Grad-CAM 图件核验; Grad-CAM 的解释边界,Grad-CAM 使用目标输出对卷积特征图的梯度形成粗粒度、预测相关响应区域。,Selvaraju2017GradCAM,Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization,fulltext,ICCV printed pp. 618--621 for method; pp. 622--626 for experiments and conclusion.,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter2_data_problem; chapter4_experiments; chapter5_discussion,深度学习在测井解释中的应用现状; 相邻深度相关性与验证边界; 数据划分策略; 随机样本划分条件下的先导实验; 单井深度区间隔离结果的解释,相关或分组数据采用随机交叉验证可能低估预测误差，分块验证更合适。,Roberts2017CrossValidation,"Cross‐validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter2_data_problem; chapter4_experiments,深度学习在测井解释中的应用现状; 相邻深度相关性与验证边界; 数据划分策略,空间或环境分块可构造相互分离的验证折叠。,Valavi2019BlockCV,block CV : An r package for generating spatially or environmentally separated folds for k ‐fold cross‐validation of species distribution models,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter4_experiments,深度学习在测井解释中的应用现状; 随机样本划分条件下的先导实验,面向目标域的验证与特征选择可降低时空相关数据的乐观偏差。,Meyer2018TargetValidation,Improving performance of spatio-temporal machine learning models using forward feature selection and target-oriented validation,metadata,Crossref/OpenAlex metadata,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter4_experiments; chapter5_discussion,深度学习在测井解释中的应用现状; 数据划分策略; 单井深度区间隔离结果的解释,空间独立验证可能显著改变模型性能判断。,Ploton2020SpatialValidation,Spatial validation reveals poor predictive performance of large-scale ecological mapping models,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,深度学习在测井解释中的应用现状,CNN 通过局部连接和权值共享学习层级特征。,LeCun1998GradientLearning,Gradient-based learning applied to document recognition,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,深度学习在测井解释中的应用现状,残差连接有助于训练更深的卷积网络。,He2016ResNet,Deep Residual Learning for Image Recognition,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter5_discussion,与现有固井评价方法的关系,井完整性失效涉及多类屏障与完整性机制，评价需面向全寿命周期。,Kiran2017WellIntegrityReview,Identification and evaluation of well integrity and causes of failure of well integrity barriers (A review),metadata,Crossref/OpenAlex metadata,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter5_discussion,与现有固井评价方法的关系,储层封存场景中的井完整性依赖套管和水泥屏障。,Bai2016WellIntegrityReview,A review on well integrity issues for CO 2 geological storage and enhanced gas recovery,metadata,Crossref/OpenAlex metadata,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter3_method; chapter5_discussion,傅里叶平移性质; 标签设计的价值与信息损失,傅里叶描述子使用频域系数表达形状并讨论平移等变换影响。,Persoon1977FourierDescriptors,Shape Discrimination Using Fourier Descriptors,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter3_method; chapter5_discussion,傅里叶平移性质; 标签设计的价值与信息损失,闭合曲线傅里叶描述子表明平移主要作用于低阶或相位相关分量。,Zahn1972FourierDescriptors,Fourier Descriptors for Plane Closed Curves,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter3_method; chapter5_discussion,傅里叶平移性质; 标签设计的价值与信息损失,椭圆傅里叶系数可描述闭合轮廓，但归一化会牺牲部分位置信息。,Kuhl1982EllipticFourier,Elliptic Fourier features of a closed contour,metadata,Crossref/OpenAlex metadata,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter3_method,深度学习在测井解释中的应用现状; CWT 定义与参数,CWT 的尺度--时间表示适用于非平稳信号分析。,Torrence1998WaveletGuide,A Practical Guide to Wavelet Analysis,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter3_method,基于 EfficientNetV2B0 的回归模型,Huber 损失在小残差区间采用二次项、较大残差区间采用线性增长。,Huber1964Robust,Robust Estimation of a Location Parameter,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro; chapter3_method; chapter5_discussion,深度学习在测井解释中的应用现状; 基于 EfficientNetV2B0 的回归模型; CWT 表征与网络骨干的作用,EfficientNetV2 通过 Fused-MBConv 和训练感知缩放提高训练效率；本文仅作骨干网络。,Tan2021EfficientNetV2,EfficientNetV2: Smaller Models and Faster Training,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter3_method,基于 EfficientNetV2B0 的回归模型,Adam 使用一阶矩和二阶矩估计进行自适应随机优化。,Kingma2014Adam,Adam: A Method for Stochastic Optimization,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
chapter1_intro,研究背景与意义,油气井屏障失效数据具有场景差异，不能将单一井段结果外推为一般规律。,Davies2014WellIntegrity,Oil and gas wells and their integrity: Implications for shale and unconventional resource exploitation,abstract,Crossref/OpenAlex abstract,cited_and_admitted,"Do not extend beyond the stated instrument, dataset, split, or task."
